,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_auc,training_lift,training_classification_error,validation_rmse,validation_logloss,validation_auc,validation_lift,validation_classification_error
0,,2018-11-01 17:20:44, 1 min 46.567 sec,0.0,0.47848788117119334,0.6504368749643079,0.5,1.0,0.645083932853717,0.5025216357949578,0.6989861543176717,0.5,1.0,0.5638297872340425
1,,2018-11-01 17:20:44, 1 min 46.589 sec,5.0,0.38093658396051,0.46995039586327675,0.9998995277805687,2.8175675675675675,0.004796163069544364,0.4187456726067143,0.5340051331965001,0.9880349746893695,2.292682926829268,0.06382978723404255
2,,2018-11-01 17:20:45, 1 min 46.619 sec,10.0,0.3060686462649166,0.3539236704549123,0.9998492916708531,2.8175675675675675,0.004796163069544364,0.3566492809664348,0.4276028234538272,0.9894155545329038,2.292682926829268,0.05319148936170213
3,,2018-11-01 17:20:45, 1 min 46.644 sec,15.0,0.24684757935623444,0.2715863016234861,0.9999497638902844,2.8175675675675675,0.002398081534772182,0.3114389178436729,0.3539051370085395,0.9903359410952599,2.292682926829268,0.05319148936170213
4,,2018-11-01 17:20:45, 1 min 46.666 sec,20.0,0.2030022119057993,0.2142073455713158,0.9999497638902844,2.8175675675675675,0.002398081534772182,0.28272383910694837,0.3053762920371252,0.9894155545329038,2.292682926829268,0.05319148936170213
5,,2018-11-01 17:20:45, 1 min 46.688 sec,25.0,0.16697720292710502,0.16937734943731156,1.0,2.8175675675675675,0.0,0.26019436856616607,0.2661299333531863,0.9903359410952599,2.292682926829268,0.05319148936170213
6,,2018-11-01 17:20:45, 1 min 46.712 sec,30.0,0.13917085150745015,0.13542755237832538,1.0,2.8175675675675675,0.0,0.24202902626197295,0.23240233231290305,0.9912563276576163,2.292682926829268,0.05319148936170213
7,,2018-11-01 17:20:45, 1 min 46.735 sec,35.0,0.1159035026975763,0.10831240361810776,1.0,2.8175675675675675,0.0,0.22981404432862718,0.20765192857869427,0.9921767142199724,2.292682926829268,0.0425531914893617
8,,2018-11-01 17:20:45, 1 min 46.759 sec,40.0,0.09869965926690988,0.08791852891601845,1.0,2.8175675675675675,0.0,0.2280430278619032,0.1959153414570022,0.9907961343764382,2.292682926829268,0.05319148936170213
9,,2018-11-01 17:20:45, 1 min 46.782 sec,45.0,0.08330827604368667,0.07096200455827319,1.0,2.8175675675675675,0.0,0.2195353242263308,0.17872954291031293,0.9917165209387944,2.292682926829268,0.0425531914893617
10,,2018-11-01 17:20:45, 1 min 46.805 sec,50.0,0.07098753180769948,0.05754256576535372,1.0,2.8175675675675675,0.0,0.2187711642123109,0.17005925718635406,0.9921767142199724,2.292682926829268,0.031914893617021274
11,,2018-11-01 17:20:45, 1 min 46.830 sec,55.0,0.060244131934092504,0.046735885990601994,1.0,2.8175675675675675,0.0,0.21527957168727457,0.15953067922963596,0.9926369075011505,2.292682926829268,0.031914893617021274
12,,2018-11-01 17:20:45, 1 min 46.856 sec,60.0,0.05230510237299584,0.038492866620521815,1.0,2.8175675675675675,0.0,0.21216012496981804,0.1511526420975879,0.9930971007823286,2.292682926829268,0.031914893617021274
13,,2018-11-01 17:20:45, 1 min 46.889 sec,65.0,0.04500638277211466,0.031657851728267496,1.0,2.8175675675675675,0.0,0.2132298177027874,0.14729482831163723,0.9930971007823286,2.292682926829268,0.031914893617021274
14,,2018-11-01 17:20:45, 1 min 46.918 sec,70.0,0.03823680980613799,0.025892112084960155,1.0,2.8175675675675675,0.0,0.21338353412238797,0.14463213650547632,0.9930971007823286,2.292682926829268,0.031914893617021274
15,,2018-11-01 17:20:45, 1 min 46.948 sec,75.0,0.03257313018368469,0.02125188025667508,1.0,2.8175675675675675,0.0,0.2122882001224098,0.13928407364710205,0.9930971007823286,2.292682926829268,0.031914893617021274
16,,2018-11-01 17:20:45, 1 min 46.979 sec,80.0,0.028152160897339663,0.017572139704512824,1.0,2.8175675675675675,0.0,0.21275405910410944,0.13724401963258753,0.9930971007823286,2.292682926829268,0.031914893617021274
17,,2018-11-01 17:20:45, 1 min 47.010 sec,85.0,0.023669978923961693,0.014460730971630283,1.0,2.8175675675675675,0.0,0.21375444497100593,0.13635890925446068,0.9935572940635067,2.292682926829268,0.031914893617021274
18,,2018-11-01 17:20:45, 1 min 47.052 sec,90.0,0.02033572801539553,0.011981389702364505,1.0,2.8175675675675675,0.0,0.21377668798765165,0.13366901110723428,0.9940174873446848,2.292682926829268,0.031914893617021274
19,,2018-11-01 17:20:45, 1 min 47.076 sec,95.0,0.01739466080936914,0.00995680065795325,1.0,2.8175675675675675,0.0,0.21460322121860362,0.1329903245138503,0.9940174873446848,2.292682926829268,0.031914893617021274
20,,2018-11-01 17:20:45, 1 min 47.101 sec,100.0,0.014715597607453593,0.008227385428282944,1.0,2.8175675675675675,0.0,0.21288514288482102,0.12996387177105076,0.994937873907041,2.292682926829268,0.031914893617021274
21,,2018-11-01 17:20:45, 1 min 47.125 sec,105.0,0.013190881966667817,0.006886146632986139,1.0,2.8175675675675675,0.0,0.20930057629809823,0.12430061869576108,0.9958582604693972,2.292682926829268,0.02127659574468085
22,,2018-11-01 17:20:45, 1 min 47.156 sec,110.0,0.011137321252181101,0.005702803962505842,1.0,2.8175675675675675,0.0,0.2124765318902852,0.12694567088923325,0.9953980671882191,2.292682926829268,0.02127659574468085
23,,2018-11-01 17:20:45, 1 min 47.187 sec,115.0,0.009652873458480071,0.004764359507816857,1.0,2.8175675675675675,0.0,0.21066270677997959,0.1240694903776788,0.9958582604693972,2.292682926829268,0.02127659574468085
24,,2018-11-01 17:20:45, 1 min 47.197 sec,116.0,0.009340946767879006,0.004594706366768465,1.0,2.8175675675675675,0.0,0.2104795448533576,0.12347704631577848,0.9953980671882191,2.292682926829268,0.02127659574468085
